id,title,author,year_of_publication,publisher,,,
3585,In Praise of Cats,Smithmark Publishing,1992,Smithmark Pub,,,
3586,The Illustrated Encyclopedia of Buddhist Wisdom,Gill Farrer-Halls,2000,Quest Books,,,
3587,Adventures of Huckleberry Finn,Mark Twain,1992,Globe Fearon,,,
3588,Non-manipulative selling,Anthony J Alessandra,1981,Reston Pub. Co,,,
3589,Beyond the Golden Hills and Other Stories,Anne L. Squire-Buresh,1991,Herald Press (PA),,,
3590,The Calvin and Hobbes Tenth Anniversary Book,Bill Watterson,1995,Andrews McMeel Publishing,,,
3591,Revelations From A 45-Pound Purse,Cathy Guisewite,1993,Andrews McMeel Publishing,,,
3592,The Child Within Has Been Awakened : A Cathy Collection But the Old Lady on the Outside Just Collapsed (A Cathy Collection),Cathy Guisewite,1994,Andrews McMeel Publishing,,,
3593,The Curse of Madame C : A Far Side Collection,Gary Larson,1994,Andrews McMeel Publishing,,,
3594,The Authoritative Calvin and Hobbes (Calvin and Hobbes),Bill Watterson,1990,Andrews McMeel Publishing,,,
3595,Something Under the Bed Is Drooling,Bill Watterson,1988,Andrews McMeel Publishing,,,
3596,Yukon Ho!,Bill Watterson,1989,Andrews McMeel Publishing,,,
3597,Dilbert Fugitive From The Cubicle Police,Scott Adams,1996,Andrews McMeel Publishing,,,
3598,You Don't Need Experience if You've Got Attitude,Scott Adams,1996,Andrews McMeel Publishing,,,
3599,Conversations With Dogbert: A Dilbert Book,Scott Adams,1996,Andrews McMeel Publishing,,,
3600,The Dilbert Bunch: A Dilbert Book (Main Street Editions),Scott Adams,1997,Andrews McMeel Publishing,,,
3601,Christmas : A Holiday Treasury,Della Rowland,1994,Andrews McMeel Publishing,,,
3602,"The Boss: Nameless, Blameless and Shameless (Adams, Scott, Dilbert Book,)",Scott Adams,1997,Andrews McMeel Publishing,,,
3603,"The Oneprince (The Redaemian Chronicles, Book 1)",Bill Hand,1992,Thomas Nelson Inc,,,
3604,Christopher and gay,: A partisan's view of the Greenwich Village homosexual scene,Wallace Hamilton,1973,Saturday Review Press,,
3605,Hinds' Feet on High Places,Hannah Hurnard,1997,Living Books,,,
3606,The Vanishings (Left Behind: The Kids #1),Jerry B. Jenkins,1998,Tyndale House Publishers,,,
3607,Second Chance (Left Behind: The Kids #2),Jerry B. Jenkins,1998,Tyndale House Publishers,,,
3608,Left Behind: A Novel of the Earth's Last Days (Left Behind No. 1),Tim Lahaye,1996,Tyndale House Publishers,,,
3609,Tribulation Force: The Continuing Drama of Those Left Behind (Left Behind No. 2),Tim LaHaye,1997,Tyndale House Publishers,,,
3610,"Assassins: Assignment: Jerusalem, Target: Antichrist (Left Behind No. 6)",Tim Lahaye,2000,Tyndale House Publishers,,,
3611,The Promise Remains,Travis Thrasher,2000,Tyndale House Publishers,,,
3612,Left Behind: A Novel of the Earth's Last Days (Left Behind #1),Tim Lahaye,2000,Tyndale House Publishers,,,
3613,Nicolae High (Left Behind: The Kids #5),Jerry B. Jenkins,1999,Tyndale House Publishers,,,
3614,The Underground (Left Behind: The Kids #6),Jerry B. Jenkins,1999,Tyndale House Publishers,,,
3615,Death Strike (Left Behind the Kids),Jerry Jenkins,2000,Tyndale House Publishers,,,
3616,The Search (Left Behind: The Kids #9),Jerry B. Jenkins,2000,Tyndale Kids,,,
3617,This Present Darkness,Frank E. Peretti,2002,Living Books,,,
3618,The Topsy-Turvy Kingdom,Dottie McDowell,1996,Tyndale Kids,,,
3619,"Let's Roll: Ordinary People, Extraordinary Courage",Lisa Beamer,2002,Tyndale House Publishers,,,
3620,Sheldon &amp Mrs. Levine: An Excruciating Correspondence,Sam Bobrick,1994,Price Stern Sloan,,,
3621,Christmas Pie,Emma Craig,1997,Leisure Books,,,
3622,Avatar,Donald Beman,1998,Leisure Books,,,
3623,Drawn to the Grave,Mary Ann Mitchell,1999,Leisure Books,,,
3624,Savage Moon,Cassie Edwards,2002,Leisure Books,,,
3625,Texas Homecoming (Night Riders),Leigh Greenwood,2002,Leisure Books,,,
3626,Texas Bride (Leisure Historical Romance),Leigh Greenwood,2002,Leisure Books,,,
3627,Reckless Embrace (Leisure Historical Romance),Madeline Baker,2002,Leisure Books,,,
3628,Seduced by a Rogue,Connie Mason,2003,Leisure Books,,,
3629,The Very Virile Viking,Sandra Hill,2003,Leisure Books,,,
3630,American Way of Sex: An Informal Illustrated History (254p),Bradley Smith,1978,Book Sales,,,
3631,Cooking Light,Susan M. McIntosh,1983,Leisure Arts,,,
3632,The End of the Age: A Novel,Pat Robertson,1995,Thomas Nelson Inc,,,
3633,The Internet Church,Walter P. Wilson,2000,W Publishing Group,,,
3634,The Heart Reader,Anonymous,2000,WestBow Press,,,
3635,Well Connected,Dianna Booher,2000,W Publishing Group,,,
3636,The Canopy,Angela Elwell Hunt,2003,WestBow Press,,,
3637,The Pearl (Women of Faith Fiction),Angela Elwell Hunt,2003,WestBow Press,,,
3638,Three,Ted Dekker,2003,WestBow Press,,,
3639,Life Lessons: Book Of Hebrews,Max Lucado,1997,W Publishing Group,,,
3640,Nothingmas Day,Adrian Mitchell,1986,Random House (Merchandising),,,
3641,The Guinness book of aircraft: Records facts and feats,David Mondey,1988,Distributed by Sterling Pub,,,
3642,"Metropolis (Bfi Film Classics, 54)",Thomas Elsaesser,2000,British Film Institute,,,
3643,An ABC for You and Me,Margaret Tempest,0,The Medici Society Ltd,,,
3644,War and Peace,Toni Goffe,1991,Child's Play International Ltd,,,
3645,Popular Reward: the Brave Toy Soldier: And Other Stories (Enid Blyton's Popular Rewards Series VII),Enid Blyton,1996,Award Publications,,,
3646,Little Women,Louisa May Alcott,0,Octopus Publising Group Plc,,,
3647,In Rajasthan,Royina Grewal,1997,Lonely Planet Publications,,,
3648,"Lonely Planet Rajasthan (Lonely Planet Rajasthan, 2nd ed)",Sarina Singh,1999,Lonely Planet Publications,,,
3649,I Like School (in My World Series),Bobbie Kalman,1985,Crabtree Publishing Company,,,
3650,Arnold: An Unauthorized Biography,Wendy Leigh,1990,McGraw-Hill,,,
3651,Black Beauty (Great Illustrated Classics (Playmore)),Anna Sewell,2000,Playmore Inc. Publishers,,,
3652,Oliver Twist (Great Illustrated Classics),Charles Dickens,1989,Playmore Inc. Publishers,,,
3653,Secret Garden (Great Illustrated Classics),Frances H. Burnett,1994,Playmore Inc. Publishers,,,
3654,Wild Man's Journey: Reflections on Male Spirituality,Richard Rohr,1996,Saint Anthony Messenger Press and Franciscan,,,
3655,Organic Chemistry,Marye Anne Fox,1994,Jones &amp Bartlett Pub,,,
3656,Unbroken Thread: An Anthology of Plays by Asian American Women,Roberta Uno,1993,University of Massachusetts Press,,,
3657,The wild ponies of Assateague Island (Books for young explorers),Donna K Grosvenor,1975,National Geographic Society,,,
3658,The God of Mirrors,Robert Reilly,1986,Atlantic Monthly Press,,,
3659,Story of My Life: A Novel,Jay McInerney,1988,Pub Group West,,,
3660,Black Hawk Down: A Story of Modern War,Mark Bowden,1999,Atlantic Monthly Press,,,
3661,Having Everything,John L'Heureux,1999,Pub Group West,,,
3662,Old Flames,John Lawton,2003,Atlantic Monthly Press,,,
3663,Introductory Lectures on Psychoanalysis,Sigmund Freud,1989,Liveright Publishing Corporation,,,
3664,The Bay of Noon,Shirley Hazzard,1981,Berkley Pub Group (Mm),,,
3665,Symposium,Paul Woodruff,1989,Hackett Pub Co Inc,,,
3666,Plato Complete Works,Plato,1997,Hackett Publishing Company,,,
3667,The Peloponnesian War (Hackett Publishing),Thucydides,1998,Hackett Publishing Company,,,
3668,Howl and Other Poems (Pocket Poets),Allen Ginsberg,1956,City Lights Publishers,,,
3669,A Little Princess,Frances Hodgson  Burnett,1996,Pages Publishing Group,,,
3670,A First Book of Shapes (Preschool Dinosaur Playhouse),A. J. Wood,1988,Modern Publishing,,,
3671,Tarot therapy: A guide to the subconscious,Jan Woudhuysen,1980,distributed by Houghton Mifflin,,,
3672,Becoming a Writer,Dorothea Brande,1981,Jeremy P. Tarcher,,,
3673,"Babinski Reflex: And 70 Other Useful and Amazing Metaphors from Science, Psychology, Business, Sports, and Everyday Life",Philip Goldberg,1990,Putnam Pub Group,,,
3674,Homecoming: The Southern Family in Short Fiction,Liz Smith Parkhurst,1990,August House Pub Inc,,,
3675,She Said Yes: The Unlikely Martyrdom of Cassie Bernall,Misty Bernall,2001,Plough Publishing House,,,
3676,Pursuit of God,Aiden W. Tozer,1982,Christian Publications,,,
3677,Wicca: A Guide for the Solitary Practitioner,Scott Cunningham,1988,Llewellyn Publications,,,
3678,"The Complete Book of Incense, Oils &amp Brews (Llewellyn's Practical Magick)","Scott, Cunningham",1989,Llewellyn Publications,,,
3679,The Magick of the Tarot (The Llewellyn Practical Guides),Denning &amp Phillips,1993,Llewellyn Pubns,,,
3680,The 21 Lessons of Merlyn: A Study in Druid Magic and Lore,Douglas Monroe,1992,Llewellyn Publications,,,
3681,Witta: An Irish Pagan Tradition (Llewellyn's World Magic),Edain McCoy,1993,Llewellyn Publications,,,
3682,Snakes: Their Care and Keeping,Lenny Flank,1998,Howell Books,,,
3683,Post Office,Charles Bukowski,1980,Black Sparrow Books,,,
3684,Ham on Rye,Charles Bukowski,1982,Ecco,,,
3685,My Last Remains,Jill Remains,2002,Denlingers Pub Ltd,,,
3686,The Further Adventures of Hank the Cowdog (Hank the Cowdog (Paperback)),John R. Erickson,1988,Maverick Books,,,
3687,The Truth About Texas: Who Needs to Brag? We'Ve Got the Facts,Anne Dingus,1995,Gulf Publishing Company,,,
3688,Spiritual Cleansing: A Handbook of Psychic Protection,Draja Mickaharic,1989,Weiser Books,,,
3689,The Japanese Cult of Tranquillity,Karlfried Durckheim,1992,Weiser Books,,,
3690,Decorative Printed Tins,D. Griffith,1979,Chelsea House Pub,,,
3691,A SOCIABLE GOD,KEN WILBER,1984,Shambhala,,,
3692,Writing Down the Bones,NATALIE GOLDBERG,1986,Shambhala,,,
3693,Same-Sex Love : And the Path to Wholeness,ROBERT H. HOPCKE,1993,Shambhala,,,
3694,Art of Peace (Shambhala Pocket Classics),JOHN STEVENS,1992,Shambhala,,,
3695,She Who Remembers,Linda Lay Shuler,1988,Arbor House Pub Co,,,
3696,The gay liberation book,Len Richmond,1973,Ramparts Press,,,
3697,Algebra &amp Trigonometry Super Review,The Staff of Research &amp Education Association,2000,Research &amp Education Association,,,
3698,Dr. Bowdler's Legacy: A History of Expurgated Books in England and America,Noel Perrin,1992,David R. Godine Publisher,,,
3699,"The Book of the Dead (The Paradys Series , Vol 3)",Tanith Lee,1997,Overlook Press,,,
3700,Science and Health with Key to the Scriptures (W.M.B.E.),Mary Baker Eddy,1994,Writings of Mary Baker Eddy,,,
3701,Father McBride's Family Catechism: Based on the Catechism of the Catholic Church,Alfred McBride,1997,Our Sunday Visitor,,,
3702,Preventive Organic Medicine (Pivot Health Book),Jurt W. Donsbach,1976,McGraw-Hill,,,
3703,Amazons II,Jessica Salmonson,1982,DAW Books,,,
3704,Moonscatter,Jo Clayton,1985,New American Library,,,
3705,Unattainable Earth,Czeslaw Milosz,1987,Ecco Press,,,
3706,"Dragons of Autumn Twilight (Dragonlance Chronicles, Vol 1)",Margaret Weis,1990,TSR,,,
3707,Starsong (Tsr Books),Dan Parkinson,1988,Wizards of the Coast,,,
3708,Illegal Aliens (Tsr Books),Nick Pollotta,1989,Wizards of the Coast,,,
3709,"Shadowdale (Forgotten Realms:  Avatar Trilogy, Book One)",Scott Ciencin,1989,Wizards of the Coast,,,
3710,"Tantras (Forgotten Realms:  Avatar Trilogy, Book 2)",Richard Awlinson,1989,Wizards of the Coast,,,
3711,Come Before Winter and Share My Hope,Charles R. Swindoll,1985,Word Publishing,,,
3712,The Children's Response: Beyond Tpr Toward Writing,Caroline Linse,1983,Alemany Press,,,
3713,Pinocchio,Carlos Collodi,1986,"Unicorn Publishing House, The Incorporated",,,
3714,The Zap Gun,Philip K. Dick,1989,Carroll &amp Graf Publishers,,,
3715,The Mammoth Book of Ghost Stories,Richard Dalby,1990,Pub Group West,,,
3716,The Voodoo Queen: A Novel (Pelican Pouch Series),Robert Tallant,1983,Pelican Publishing Company,,,
3717,Roger Caras' Treasury of Great Cat Stories,Roger Caras,1992,BBS Publishing Corporation,,,
3718,The Company of Cats : 20 Contemporary Stories of Family Cats,Michael J. Rosen,2004,Galahad,,,
3719,Self Analysis,Ron L. Hubbard,1982,Bridge Pubns,,,
3720,Self analysis: A simple self-help volume of tests and techniques based on the discoveries contained in dianetics,L. Ron Hubbard,1982,Bridge Publications,,,
3721,Self Analysis,L. Ron Hubbard,1987,Bridge Publications,,,
3722,L. Ron Hubbard Presents Writers of the Future (L. Ron Hubbard Presents Writers of the Future),L. Ron Hubbard,1988,Bridge Publications,,,
3723,Battlefield Earth: A Saga of the Year 3000,L. Ron Hubbard,1991,Bridge Publications,,,
3724,The world of Pel̩,Joe Marcus,1976,Mason/Charter,,,
3725,Kaleidoscope,June Stepansky,2000,A Different Voice Publishing Co.,,,
3726,A Different Voice,June Stepansky,2001,A Different Voice Publishing Co.,,,
3727,Lady of the Shroud,Bram Stoker,1989,Amereon Limited,,,
3728,"You'Ve Lost Your Marbles, Lickety Spilt",H Williams,1988,Durkin Hayes Publishing Ltd.,,,
3729,Lythande,Marion Zimmer Bradley,1986,Daw Books,,,
3730,The Year's Best Horror Stories: Series XIV,Edward Karl Wagner,1986,New Amer Library (Mm),,,
3731,"Magic's Pawn (The Last Herald-Mage Series, Book 1)",Mercedes Lackey,1994,Daw Books,,,
3732,"Arrows of the Queen ( The Heralds of Valdemar, Book 1)",Mercedes Lackey,1996,Daw Books,,,
3733,"Magic's Promise (The Last Herald-Mage Series, Book 2)",Mercedes Lackey,1994,Daw Books,,,
3734,"Magic's Price (The Last Herald-Mage Series, Book 3)",Mercedes Lackey,1994,Daw Books,,,
3735,The Book of Earth (Dragon Quartet),Marjorie B. Kellogg,1995,Daw Books,,,
3736,The Legend of Nightfall (Daw Book Collectors),Mickey Zucker Reichert,1993,Daw Books,,,
3737,"When True Night Falls (Coldfire Trilogy, Book 2)",C.S. Friedman,1994,Daw Books,,,
3738,The Book of Water (Daw Book Collectors),Marjorie B. Kellogg,1997,Daw Books,,,
3739,"City of Golden Shadow (Otherland, Volume 1)",Tad Williams,1998,Daw Books,,,
3740,A Thousand Words for Stranger (Daw Book Collectors),Julie E. Czerneda,1997,Daw Books,,,
3741,"River of Blue Fire (Otherland, Volume 2)",Tad Williams,1998,Daw Books,,,
3742,"The Dreaming Tree: The Dreamstone, the Tree of Swords and Jewels",C. J. Cherryh,1997,Daw Books,,,
3743,Summon the Keeper,Tanya Huff,1998,Daw Books,,,
3744,The Faded Sun Trilogy,C. J. Cherryh,2000,Daw Books,,,
3745,"The Book of Fire (Kellogg, M. Bradley. Dragon Quartet, V. 3.)",Marjorie B. Kellogg,2000,Daw Books,,,
3746,"The Second Summoning (The Keeper's Chronicles, No 2)",Tanya Huff,2001,Daw Books,,,
3747,Dogbert's Top Secret Management Handbook,Scott Adams,1996,HarperCollins Publishers,,,
3748,The Dilbert Future: Thriving on Business Stupidity in the 21st Century,Scott Adams,1998,HarperBusiness,,,
3749,The Middle Stories,Sheila Heti,2004,House of Anansi Press,,,
3750,Making Your Home a Haven: Strategies for the Domestically Challenged,Cyndy Salzmann,2001,Horizon,,,
3751,Love Ruins Everything: A Novel,Karen X. Tulchinsky,1998,Press Gang Publishers,,,
3752,Diagnostic and Statistical Manual of Mental Disorders DSM-IV-TR (Text Revision),American Psychiatric Association,2000,American Psychiatric Association,,,
3753,English Handbook for Christian Schools,Grace Colling,2001,Bob Jones Univ Pr,,,
3754,So Little Time: Essays on Gay Life,Mike Hippler,1990,Celestial Arts,,,
3755,Totally Muffins Cookbook (Totally Cookbooks),Helene Siegel,1995,Celestial Arts,,,
3756,"Arthur (The Pendragon Cycle, Book 3)",Stephen R. Lawhead,1989,Good News Pub,,,
3757,Inside out,Lawrence J Crabb,1988,NavPress,,,
3758,August 1944: The Campaign for France,Robert A. Miller,1996,Ballantine Books,,,
3759,Journey of Self-Discovery,A. C. Bhaktivedanta Swami Prabhupada,1990,Bhaktivedanta Book Trust,,,
3760,The Complete I Ching: The Definitive Translation by the Taoist Master Alfred Huang,Alfred Huang,1998,Inner Traditions International,,,
3761,"Homestead, A Memoir",Jane Kirkpatrick,2000,Maverick Publications,,,
3762,Black House,Patricia Highsmith,1988,Mysterious Press,,,
3763,The Bottoms,Joe R. Lansdale,2000,Mysterious Press,,,
3764,The Fractal Murders (Pepper Keane Mysteries),Mark Cohen,2004,Mysterious Press,,,
3765,Tale of Two Cities (Watermill Classics),Charles Dickens,1987,Troll Communications,,,
3766,College Majors and Careers: A Resource Guide for Effective Life Planning (College Majors and Careers),Paul Phifer,1999,Ferguson Publishing Company,,,
3767,Ben &amp Jerry's Homemade Ice Cream &amp Dessert Book,Ben Cohen,1987,Workman Publishing,,,
3768,"14,000 Things to Be Happy About",Barbara Ann Kipfer,1990,Workman Publishing,,,
3769,What to Expect the First Year,Arlene Eisenberg,1989,Workman Publishing,,,
3770,Treasure Island (The World's Best Reading),Robert Louis Stevenson,1987,Putnam Pub Group,,,
3771,How in the World?: A Fascinating Journey Through the World of Human Ingenuity,Readers Digest,1990,Readers Digest,,,
3772,Flower Arranging (Rd Home Handbooks),Malcolm Hillier,1990,Reader's Digest Association,,,
3773,Watercolor School (Reader's Digest Learn-As-You-Go Guides),Hazel Harrison,1993,Readers Digest,,,
3774,"The Hauntings of Williamsburg, Yorktown, and Jamestown",Jackie Eileen Behrend,1998,John F. Blair Publisher,,,
3775,Culture Clash: The Making of Gay Sensibility,Michael Bronski,1984,South End Press,,,
3776,"The Best in Tent Camping: Smoky Mountains : A Guide for Campers Who Hate Rvs, Concrete Slabs, and Loud Portable Stereos (Best in Tent Camping Colorado)",Johnny Molloy,1997,Globe Pequot Pr,,,
3777,"How to Make $1,000 a Minute: Negotiating Salaries and Raises",Jack Chapman,1987,Ten Speed Pr,,,
3778,Myth-Nomers and Im-Pervections,Robert Asprin,1987,Donning Company Publishers,,,
3779,The War Against Population: The Economics and Ideology of Population Control,Jacqueline Kasun,1999,Ignatius Press,,,
3780,Snowshoeing,Gene Prater,1988,Mountaineers Books,,,
3781,"A Hiker's Companion: 12,000 Miles of Trail-Tested Wisdom",Cindy Ross,1993,Mountaineers Books,,,
3782,African Women: Their Struggle for Economic Independence,Christine Obbo,1980,Palgrave-Macmillan,,,
3783,"Cat (kat), n",B Kliban,1975,Workman Pub. Co,,,
3784,Chief Seattle (Northwest Mythic Landscape Series),David Buerge,1992,Pub Group West,,,
3785,Beyond Birth and Death,A. C. Bhaktivedanta Swami Prabhupada,1972,Bhaktivedanta Book Trust,,,
3786,The Case for Christ : A Journalist's Personal Investigation of the Evidence for Jesus,Lee Strobel,1998,Zondervan Publishing House,,,
3787,Stories for the Faithful Heart,various authors,2000,"Graham, Billy Evangelistic Association",,,
3788,Deaf Culture Our Way,Holcomb,1995,Dawnsign Press,,,
3789,The Graywolf Annual Two : Short Stories by Women (Graywolf Annual),Scott Walker,1986,Graywolf Press,,,
3790,Sacred Journey of the Peaceful Warrior,Dan Millman,1991,H.J. Kramer,,,
3791,Son Rise: The Miracle Continues,Barry Neil Kaufman,1994,Pub Group West,,,
3792,"Way of the Peaceful Warrior, 20th Anniversary Edition: A Book That Changes Lives",Dan Millman,2000,H.J. Kramer,,,
3793,How to Get Your Kid to Eat but Not Too Much,Ellyn Satter,1987,Bull Publishing Company,,,
3794,"Frontier Soldier : An Enlisted Man's Journal of the Sioux and Nez Perce Campaigns, 1877",William Zimmer,1998,Montana Historical Society,,,
3795,Alone in the Australian Outback,Gladys Taylor,1984,Deadwood Pub Ltd,,,
3796,Love You Forever,Robert N. Munsch,1986,Firefly Books Ltd,,,
3797,Unveiled at Last,Bob Sjogren,1988,YWAM Publishing,,,
3798,Men and Brethren,James Gould Cozzens,1989,Elephant Paperbacks,,,
3799,50 Simple Things You Can Do to Save the Earth,Earthworks Group,1989,Pub Group West,,,
3800,The Man Who Planted Trees,Jean Giono,1987,Chelsea Green Publishing Company,,,
3801,Guide to Korean Characters: Reading and Writing Hangul and Hanja,Bruce K. Grant,1987,Weatherhill Inc.,,,
3802,How to Survive the Loss of a Love,Peter McWilliams,1993,Prelude Press,,,
3803,American Deaf Culture: An Anthology,Sherman Wilcox,1989,"Linstok Press, Incorporated",,,
3804,Book of African Names,Osuntoki,1990,Black Classic Press,,,
3805,Glad Rags,MacDonald Harris,1991,Story Line Press,,,
3806,The What's Happening to My Body? Book for Boys: A Growing Up Guide for Parents and Sons,Lynda Madaras,1987,W W Norton &amp Co,,,
3807,The Heart of Understanding: Commentaries on the Prajnaparamita Heart Sutra,Thich Nhat Hanh,1988,Parallax Press,,,
3808,Fantastic Four Illustrated Books,Stan Lee,1982,Marvel Books,,,
3809,Mawrdew Czgowchwz (New York Review Books Classics),James McCourt,2002,New York Review of Books,,,
3810,War Against War,Ernst Friedrich,1987,Real Comet Press,,,
3811,American Poetry Since 1970: Up Late,Andrei Codrescu,1988,Four Walls Eight Windows,,,
3812,The Earth House,Jeanne Duprau,1992,New Chapter Press,,,
3813,Random Acts of Kindness,Conari Press,1993,Conari Press,,,
3814,Weddings from the Heart: Contemporary and Traditional Ceremonies for an Unforgettable Wedding,Daphne Rose Kingma,1995,Conari Press,,,
3815,Outhouses of Alaska,Harry M. Walker,1996,Epicenter Press,,,
3816,The Doctor the Patient: The Personal Journey of a Physician With Cancer,Allen Widome,1989,Editech Pr,,,
3817,Scottish Ghosts,Judy Hamilton,1999,Lomond Books,,,
3818,Brideshead Regained,Michael Johnston,2003,Akanos,,,
3819,Peace Agitator: Story of A. J. Muste,Hentoff,1982,A. J. Muste Memorial Institute,,,
3820,Northwest Wines and Wineries,Chuck Hill,1993,Speed Graphics,,,
3821,Knights of the Whip: Stagecoach Days in Oregon,Gary Meier,1987,Gary &amp Gloria Meier,,,
3822,"Preserving Family Lands, Book I",Stephen J. Small,1998,Landowner Planning Center,,,
3823,Return to Isis,Jean Stewart,1992,Rising Tide Press (AZ),,,
3824,Angels and Visitations: A Miscellany,Neil Gaiman,1993,Dreamhaven Books,,,
3825,Half Life: What We Give Up to Work,Jeannette Batz,1993,Booksource,,,
3826,The Satanic Verses,Salman Rushdie,1992,Distributors,,,
3827,Great Deaf Americans: The Second Edition,Matthew S. Moore,1996,Deaf Life Press,,,
3828,Totally Useless Office Skills: 75 Great Ways to Play at Work,Rick Davis,1997,Hobblebush Books,,,
3829,An Atmosphere of Eternity: Stories of India,David Iglehart,2002,Sunflower Press,,,
3830,"Secrets, Vol. 1",Alice Gaines,1995,"Red Sage Publishing,Inc",,,
3831,Atonement,Ian McEwan,2002,Nan A. Talese,,,
3832,Finding Laura Buggs,Stanley Gordon West,1999,Lexington-Marshall Pub.,,,
3833,The Missionary's Catechism,Russell L. Ford,1998,US,,,
3834,Home Spun: A Collection,Leon Hale,1997,Winedale Publishing,,,
3835,The Diaries of Adam and Eve,Mark Twain,1998,Fair Oaks Press,,,
3836,"In-Home Child Care: A Step-By-Step Guide to Quality, Affordable Care","Debra K., Dr. Shatoff",1998,"Family CareWare, Inc.",,,
3837,Cool Women,Dawn Chipman,1997,Girl Press,,,
3838,The Eleanor Roosevelt Girls,Bonnie Bluh,1999,Lyre-Bird Books,,,
3839,Prescription for Terror,Sandra Levy Ceren,1999,Andrew Scott Publishers,,,
3840,B-More Careful,Shannon Holmes,2001,Teri Woods Publishing,,,
3841,Secret,Mirika Mayo Cornelius,2002,Akirim Press,,,
3842,Just Like Your Daddy,D. E. Rogers,2002,Invincible Books,,,
3843,"On Becoming Baby Wise: The Classic Reference Guide Used by Over 1,000,000 Parents Worldwide",Gary Ezzo,2001,Hawks Flight &amp Association,,,
3844,On Becoming Baby Wise: Parenting Your Pre Toddler 5-15 Months (On Becoming. . .),Gary Ezzo,2001,Hawks Flight &amp Association,,,
3845,A Thousand Country Roads: An Epilogue to The Bridges of Madison County,Robert James Waller,2002,John M. Hardy,,,
3846,Wild Animus,Rich Shapero,2004,Too Far,,,
3847,The Greatest Discovery,Chris Sorensen,2003,Pond Publishing,,,
3848,The Breach,Brian Kaufman,2002,Last Knight Pub Co,,,
3849,An American Salad,Marie Watts,2003,Turnkey Press,,,
3850,Gifted Trust,John Paul Allen,2003,Biting Dog Publications,,,
3851,A Temporary New Wife,Malcolm Goodway,2004,AuthorsOmniscient Publishers,,,
3852,The Curious Incident of the Dog in the Night-Time (Vintage Contemporaries),Mark Haddon,2004,Vintage,,,
3853,Under the Banner of Heaven : A Story of Violent Faith,JON KRAKAUER,2004,Anchor,,,
3854,The No. 1 Ladies' Detective Agency (Today Show Book Club #8),Alexander McCall Smith,2003,Anchor,,,
3855,Pnin,VLADIMIR NABOKOV,2004,Everyman's Library,,,
3856,"Lucia, Lucia : A Novel",ADRIANA TRIGIANI,2003,Random House,,,
3857,"The Art of Mending : A Novel (Berg, Elizabeth)",ELIZABETH BERG,2004,Random House,,,
3858,Obliviously On He Sails : The Bush Administration in Rhyme,CALVIN TRILLIN,2004,Random House,,,
3859,Jazz,TONI MORRISON,2004,Vintage,,,
3860,Cold Mountain (MTI) (Vintage Contemporaries),CHARLES FRAZIER,2003,Vintage,,,
3861,Revelation and the Fall of Judea,Maurice A. Williams,2002,Xlibris Corporation,,,
3862,"League of Extraordinary Gentlemen, Vol. 2 (Comic)",Alan Moore,2003,DC Comics,,,
3863,Tigger's Little Book of Diet and Exercise,E.H. Shepard,2002,Egmont Childrens Books,,,
3864,The Adventures of Drew and Ellie: The Magical Dress,Charles Noland,2003,1stBooks Library,,,
3865,Photography and the Art of Seeing,Freeman Patterson,1989,Key Porter Books,,,
3866,Too Close to the Falls: A Memoir,Catherine Gildiner,1999,Independent Pub Group,,,
3867,How to Be a Canadian: Even If You Already are One,Will Ferguson,2003,Douglas &amp McIntyre,,,
3868,Heart of Darkness (Broadview Literary Texts),Joseph Conrad,1999,Broadview Press,,,
3869,Fulfillment,Barbara Delinsky,1995,Mira,,,
3870,White Lies,Linda Howard,1997,Mira,,,
3871,Home To Eden,Dallas Schulze,1997,Mira,,,
3872,Dimedici Bride,Heather Graham Pozzessere,1999,Mira,,,
3873,Call It Destiny (Mira),Jayne Ann Krentz,2000,Mira Books,,,
3874,Bride Of Black Douglas (Mira),Elaine Coffman,2000,Mira,,,
3875,Sarah'S Child - Hardcover,Linda Howard,2000,Mira,,,
3876,Embrace the Twilight,Maggie Shayne,2003,Mira Books,,,
3877,Naughty Marietta,Nan Ryan,2003,Mira Books,,,
3878,Dead Run,Erica Spindler,2003,Mira,,,
3879,The Love Knot,Rebecca Brandewyne,2003,Mira,,,
3880,Recipes For Easy Living,Curtiss Ann Matlock,2003,Mira,,,
3881,Fifth Daughter,Elaine Coffman,2001,Mira,,,
3882,Reckless Encounter,Rosemary Rogers,2001,Mira,,,
3883,Getting Rid Of Bradley,Jennifer Crusie,2001,Mira,,,
3884,Final Stand,Helen Myers,2002,Mira,,,
3885,Thursday'S At Eight,Debbie Macomber,2002,Mira,,,
3886,A Season Of Miracles,Heather Graham,2002,Mira,,,
3887,A Gift To Last,Debbie Macomber,2002,Mira,,,
3888,Just Over The Mountain,Robyn Carr,2002,Mira,,,
3889,The Italian,Elaine Coffman,2002,Mira,,,
3890,Diamond Spur,Diana Palmer,2002,Mira,,,
3891,Jane Doe,R. J. Kaiser,1999,Mira Books,,,
3892,Silent Witness: How Forensic Anthropology Is Used to Solve the World's Toughest Crimes,Roxana Ferllini Timms,2002,Firefly Books Ltd,,,
3893,The Complete Hot &amp Spicy Cookbook,Emma Callery,1991,Book Sales,,,
3894,Hood,Emma Donoghue,1998,Alyson Publications,,,
3895,Witchfire,Lauren Maddison,2001,Alyson Books,,,
